name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury,averageAdp,sleeperAdp,espnAdp,yahooAdp,nflAdp,ffCheatsheetAdp
D.J. Moore,WR,BUF,0.0,0.0,0.0,62.0,0.5,66.5,824.5,6.5,0.0,https://assets.actionnetwork.com/200x200/e5c5a9809f974447b491791adf02cf06.png,197.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
D.K. Metcalf,WR,PIT,0.0,0.0,0.0,11.0,0.0,61.5,825.5,5.5,0.0,https://assets.actionnetwork.com/200x200/83da01a8d3e24e56825bdf58d5303e21.png,178.15,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Dallas Goedert,TE,PHI,0.0,0.0,0.0,1.0,0.0,56.0,575.5,4.5,0.0,https://assets.actionnetwork.com/200x200/816b93e9272b4d9287c4015970008128.png,140.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Dalton Kincaid,TE,BUF,0.0,0.0,0.0,0.0,0.0,52.0,549.5,3.5,0.0,https://assets.actionnetwork.com/200x200/035371c7d51445b5ada33f04a52c4145.png,127.95,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Dalton Schultz,TE,HOU,0.0,0.0,0.0,0.0,0.0,49.0,500.5,3.5,0.0,https://assets.actionnetwork.com/200x200/61f6ca88ab6f4c05a7bd7e55f0ab67b0.png,120.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Davante Adams,WR,LA,0.0,0.0,0.0,0.0,0.0,60.5,775.5,9.5,0.0,https://assets.actionnetwork.com/200x200/e251b3503e8b4942965d07836286d9f4.png,195.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
DeVonta Smith,WR,PHI,0.0,0.0,0.0,3.0,0.0,79.5,1025.5,5.5,0.0,https://assets.actionnetwork.com/200x200/e6f9e8286c0e41fb8b0193d412d518b3.png,215.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Denzel Boston,WR,CLE,0.0,0.0,0.0,23.0,0.0,36.0,475.5,3.5,0.0,https://assets.actionnetwork.com/200x200/fe4ec4e0b2164c11916f9e89d8fa86cd.png,106.85,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Drake London,WR,ATL,0.0,0.0,0.0,1.0,0.0,84.5,1150.5,7.5,0.0,https://assets.actionnetwork.com/200x200/206d179e683343aaa09fe67e9d9801f4.png,244.65,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Emeka Egbuka,WR,TB,0.0,0.0,0.0,7.0,0.0,58.5,900.5,6.5,0.0,https://assets.actionnetwork.com/200x200/8ed104290778488d8ea1444870a239e3.png,188.25,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Garrett Wilson,WR,NYJ,0.0,0.0,0.0,6.0,0.0,83.5,999.5,4.5,0.0,https://assets.actionnetwork.com/200x200/dce2563b660d4a38b5194cfb56c7b236.png,211.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
George Kittle,TE,SF,0.0,0.0,0.0,18.0,0.0,58.5,700.5,5.5,0.0,https://assets.actionnetwork.com/200x200/96349131a4004c30a6b3e5117647d348.png,163.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
George Pickens,WR,DAL,0.0,0.0,0.0,11.0,0.0,71.0,999.5,7.5,0.0,https://assets.actionnetwork.com/200x200/9f2d93d732f14bfbbeab4572f4b23383.png,217.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Germie Bernard,WR,PIT,0.0,0.0,0.0,25.0,0.0,30.5,400.5,2.5,0.0,https://assets.actionnetwork.com/200x200/1551f18a1382456c82e0bfa9c9364ed8.png,88.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Greg Dulcich,TE,MIA,0.0,0.0,0.0,5.0,0.0,38.0,400.5,2.5,0.0,https://assets.actionnetwork.com/200x200/1263c5fa5b604db0b04e96fb10c5f00f.png,93.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Gunnar Helm,TE,TEN,0.0,0.0,0.0,0.0,0.0,40.0,400.5,2.5,0.0,https://assets.actionnetwork.com/200x200/79e2d5b9b9b84f41b4c656a69fc84779.png,95.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Harold Fannin,TE,CLE,0.0,0.0,0.0,21.0,0.0,66.0,699.5,4.5,0.0,https://assets.actionnetwork.com/200x200/564652f48e10472b926abdd7f0793d85.png,165.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Hunter Henry,TE,NE,0.0,0.0,0.0,0.0,0.0,47.5,500.5,4.5,0.0,https://assets.actionnetwork.com/200x200/fff869100cbd4102949e679352b748d6.png,124.55,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Isaiah Likely,TE,NYG,0.0,0.0,0.0,0.0,0.0,57.5,625.5,3.5,0.0,https://assets.actionnetwork.com/200x200/9c8cb38802a740a4b484c28aa590ad10.png,141.05,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Ja'Marr Chase,WR,CIN,0.0,0.0,0.0,9.0,0.0,105.0,1324.5,10.5,0.0,https://assets.actionnetwork.com/200x200/745863277d564e5aa8e9f0e9ed7ebf39.png,301.35,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
