name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,teamImage,fantraxPPR,sleeperPPR,espnPPR,yahooPPR,underdogHalfPPR,sleeperHalfPPR,fantraxStandard,sleeperStandard,consensusPPR,consensusHalfPPR,consensusStandard,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury
De'Von Achane,RB,MIA,0.0,0.0,0.0,975.5,5.5,51.5,375.5,2.0,0.0,https://assets.actionnetwork.com/200x200/ecb7f302353e404f962e3f24c6e14eb1.png,https://static.sprtactn.co/teamlogos/nfl/100/mia.png,13,12,12,16.0,18.0,14,0.0,11.0,13,16,11.0,231.6,0,0,0,,0,0,0,0,0,
Derrick Henry,RB,BAL,0.0,0.0,0.0,1249.5,12.5,18.0,128.0,0.5,0.0,https://assets.actionnetwork.com/200x200/0e246e3012b24c8b8d68e9adc8b2c11e.png,https://static.sprtactn.co/teamlogos/nfl/100/bal.png,22,23,21,19.0,17.0,17,0.0,10.0,21,17,10.0,233.75,0,0,0,,0,0,0,0,0,
J.K. Dobbins,RB,DEN,0.0,0.0,0.0,675.5,5.5,13.5,96.0,0.5,0.0,https://assets.actionnetwork.com/200x200/1970049f7f49425f8bd1f6d701266d44.png,https://static.sprtactn.co/teamlogos/nfl/100/den.png,97,91,123,100.0,97.0,90,0.0,88.0,99,93,88.0,126.65,0,0,0,,0,0,0,0,0,
Jacory Croskey-Merritt,RB,WAS,0.0,0.0,0.0,600.5,4.5,20.0,148.0,1.0,0.0,https://assets.actionnetwork.com/200x200/f7f24627e34d47ec8e21bb66953cd43c.png,https://assets.actionnetwork.com/698864_Commanders.png,124,109,142,118.0,117.0,102,0.0,92.0,121,109,92.0,127.85,0,0,0,,0,0,0,0,0,
Jadarian Price,RB,SEA,0.0,0.0,0.0,750.5,5.5,26.0,193.0,1.0,0.0,https://assets.actionnetwork.com/200x200/2206caa7d4e842ad81af3a9eaf565b0d.png,https://static.sprtactn.co/teamlogos/nfl/100/sea.png,61,72,80,66.0,62.0,62,0.0,71.0,69,62,71.0,159.35,0,0,0,,0,0,0,0,0,
Jahmyr Gibbs,RB,DET,0.0,0.0,0.0,1200.5,12.5,58.0,450.5,3.5,0.0,https://assets.actionnetwork.com/200x200/2b16bc668b0441b1b0b9e79ea9cccd9d.png,https://static.sprtactn.co/teamlogos/nfl/100/det.png,1,1,2,2.0,1.0,1,1.0,1.0,2,1,1.0,319.1,0,0,0,,0,0,0,0,0,
James Cook,RB,BUF,0.0,0.0,0.0,1250.5,10.5,24.0,174.0,1.0,0.0,https://assets.actionnetwork.com/200x200/44bf626f7ff5429d8de836331f3c8d1d.png,https://static.sprtactn.co/teamlogos/nfl/100/buf.png,11,12,13,10.0,11.0,7,0.0,6.0,12,9,6.0,235.45,0,0,0,,0,0,0,0,0,
Javonte Williams,RB,DAL,0.0,0.0,0.0,949.5,9.5,26.0,175.0,1.0,0.0,https://assets.actionnetwork.com/200x200/38b8fc7ee428484296e72e84eaf26066.png,https://static.sprtactn.co/teamlogos/nfl/100/dal.png,32,37,39,35.0,36.0,34,0.0,31.0,36,35,31.0,201.45,0,0,0,,0,0,0,0,0,
Jaylen Warren,RB,PIT,0.0,0.0,0.0,600.5,5.5,30.5,225.0,1.0,0.0,https://assets.actionnetwork.com/200x200/cc5cedc9e5f4411ca51302f699a096ea.png,https://static.sprtactn.co/teamlogos/nfl/100/pit.png,73,74,103,76.0,72.0,70,0.0,64.0,75,70,64.0,152.05,0,0,0,,0,0,0,0,0,
Jeremiyah Love,RB,ARI,0.0,0.0,0.0,825.5,5.5,29.0,215.0,1.0,0.0,https://assets.actionnetwork.com/200x200/81feb172fa564909bd2101ab4ccc9ac5.png,https://static.sprtactn.co/teamlogos/nfl/100/ari.png,30,25,19,27.0,27.0,24,30.0,20.0,26,25,25.0,172.05,0,0,0,,0,0,0,0,0,
Jonathan Taylor,RB,IND,0.0,0.0,0.0,1250.5,11.5,32.5,221.0,1.0,0.0,https://assets.actionnetwork.com/200x200/c5c8828b88d3483ab6ba6b6a23cd962e.png,https://static.sprtactn.co/teamlogos/nfl/100/ind.png,8,8,8,7.0,8.0,6,0.0,4.0,8,7,4.0,254.65,0,0,0,,0,0,0,0,0,
Jordan Mason,RB,MIN,0.0,0.0,0.0,649.5,4.5,14.5,113.0,0.5,0.0,https://assets.actionnetwork.com/200x200/bffdf51bf2cd451795c9ecfeb252ad57.png,https://static.sprtactn.co/teamlogos/nfl/100/min.png,117,118,156,121.0,110.0,110,0.0,132.0,119,110,132.0,120.75,0,0,0,,0,0,0,0,0,
Kenneth Walker III,RB,KC,0.0,0.0,0.0,925.5,7.5,25.5,182.0,0.5,0.0,https://assets.actionnetwork.com/200x200/0932cab8c7cf45d28a27f91e5ccab950.png,https://static.sprtactn.co/teamlogos/nfl/100/kc.png,19,21,25,19.0,15.0,19,0.0,20.0,20,17,20.0,184.25,0,0,0,,0,0,0,0,0,
Kyle Monangai,RB,CHI,0.0,0.0,0.0,649.5,4.5,27.0,212.0,1.0,0.0,https://assets.actionnetwork.com/200x200/0e5af9e099db494a8e5a06459ab209c3.png,https://assets.actionnetwork.com/598430_bears1.png,94,94,133,96.0,97.0,88,0.0,76.0,95,92,76.0,146.15,0,0,0,,0,0,0,0,0,
